Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6863dbd4cd0b895878b47bff,6766c25793c13fc95c767574,AWAITING REVIEW,Not Applicable,2025-07-01T13:00:04.884000Z,2025-07-01T13:09:57.477000Z,,2025-07-01T13:09:58.094807Z,593.0,NOCODE,1073,74,Male,Black,Colombia,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6863dbdeefbf84ba5a65eac7,63c08fa9f3882764b4e8e7dd,RETURNED,Not Applicable,2025-07-01T13:00:23.847000Z,,,2025-07-01T14:33:09.396842Z,,,2072,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6863dbe012a1ba41d1172f66,67d38e686bef986a7bf9e769,AWAITING REVIEW,Not Applicable,2025-07-01T13:00:26.307000Z,2025-07-01T13:21:25.372000Z,,2025-07-01T13:21:25.950631Z,1260.0,NOCODE,962,31,Female,Black,United States,United States,United States,English,No,Part-Time
6863dbec9345fd4cc83c26b7,67e2dc56b092a0c2fcaf50d6,AWAITING REVIEW,Not Applicable,2025-07-01T13:00:28.178000Z,2025-07-01T13:19:15.387000Z,,2025-07-01T13:19:15.844376Z,1128.0,NOCODE,885,31,Male,White,United States,United States,United States,English,Yes,Part-Time
6863dc0258d947ac13de654c,62b44f66a16d45783569fad6,RETURNED,Not Applicable,2025-07-01T13:01:20.813000Z,,,2025-07-01T14:33:09.404736Z,,,3611,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6863dc867db2505f506db8b4,6501b789e3ddbc0a0b79b925,AWAITING REVIEW,Not Applicable,2025-07-01T13:03:02.390000Z,2025-07-01T13:19:12.718000Z,,2025-07-01T13:19:13.222322Z,971.0,NOCODE,896,24,Male,White,Canada,Canada,Canada,English,Yes,Full-Time
6863ddc58cd24347735bf463,655f5c25436e20ee41a0b22a,TIMED-OUT,Not Applicable,2025-07-01T13:08:21.791000Z,,,2025-07-01T14:33:09.404127Z,5088.0,,168,40,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6863df76e45812ed80ea97b3,6614daf007670261189c3e8a,RETURNED,Not Applicable,,,,2025-07-01T14:33:09.409398Z,,,331,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6863dfabcf77e7e23b5325fc,661564c766603e80ca4c3184,RETURNED,Not Applicable,,,,2025-07-01T14:33:09.412617Z,,,440,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6863dfabdb365de8b95e9aa7,61164e823465955346dc1827,AWAITING REVIEW,Not Applicable,2025-07-01T13:16:27.432000Z,2025-07-01T13:25:41.782000Z,,2025-07-01T13:25:42.230734Z,555.0,NOCODE,148,23,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6863dfe5d582d9323d38b3bc,60719da557d8241609b26e83,AWAITING REVIEW,Not Applicable,2025-07-01T13:17:45.315000Z,2025-07-01T13:43:16.716000Z,,2025-07-01T13:43:17.369323Z,1532.0,NOCODE,1038,39,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6863e025ecf6297929c25ec9,66a65fa27457d9821eea23b6,AWAITING REVIEW,Not Applicable,2025-07-01T13:18:52.397000Z,2025-07-01T13:38:48.412000Z,,2025-07-01T13:38:48.977170Z,1197.0,NOCODE,56,28,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
6863e1d47588720dc1c25f62,65e5a45b5774c7e869f5afcd,RETURNED,Not Applicable,2025-07-01T13:26:10.325000Z,,,2025-07-01T14:33:09.418035Z,,,973,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6863e536aa1b6822795f700b,63222311994c6e4c35bb2a55,AWAITING REVIEW,Not Applicable,2025-07-01T13:40:06.697000Z,2025-07-01T14:18:17.185000Z,,2025-07-01T14:18:17.737712Z,2291.0,NOCCODE,2718,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6863ea10cd38b01747e0a544,60e343946a7faddde88fbe3c,AWAITING REVIEW,Not Applicable,2025-07-01T14:04:20.208000Z,2025-07-01T14:58:17.792000Z,,2025-07-01T14:58:18.533078Z,3238.0,NOCODE,1112,31,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6863ea1d618cf3f1b411b21e,616fecdd127553593aac3134,AWAITING REVIEW,Not Applicable,2025-07-01T14:03:40.387000Z,2025-07-01T14:25:15.809000Z,,2025-07-01T14:25:16.267179Z,1296.0,NOCODE,386,32,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6863eda1cdb3fe0f4bca2e6b,5d8a62e934146e001a8ea16d,AWAITING REVIEW,Not Applicable,2025-07-01T14:16:01.716000Z,2025-07-01T14:46:22.977000Z,,2025-07-01T14:46:23.470372Z,1822.0,NOCODE,1586,48,Male,White,United Kingdom,Greece,United Kingdom,English,No,Part-Time
